PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad Cliente,Mas_1_Coche,Probabilidad_0,Probabilidad_1
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Funcionario,Santa Cruz de Tenerife,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,3,18-40,1,0.2746812,0.7253188
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,Averia muy grave,SI,0-2k,0-10k,1,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,Averia grave,NO,0-2k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,F,Empresa,Sevilla,SI,NO,NO,Alto,NO DATA,Averia muy grave,SI,5k-10k,0-10k,2,18-40,1,0.22266632,0.7773337
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Guipuzcua,SI,NO,SI,Alto,SI,No,NO,0-2k,0-10k,2,18-40,1,0.39371264,0.60628736
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Sevilla,NO,NO,SI,Alto,NO DATA,Averia grave,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Pontevedra,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Santa Cruz de Tenerife,SI,NO,NO,Medio,NO DATA,No,NO,5k-10k,0-10k,2,18-40,1,0.17528826,0.82471174
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Sevilla,SI,NO,SI,Alto,NO DATA,No,SI,0-2k,0-10k,1,18-40,1,0.08702421,0.9129758
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Sevilla,SI,NO,SI,Alto,NO DATA,Averia muy grave,SI,0-2k,0-10k,1,18-40,1,0.08702421,0.9129758
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Tarragona,SI,NO,NO,Medio,SI,No,NO,2k-3k,10k-20k,1,40-50,1,0.3961441,0.6038559
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,Averia muy grave,SI,2k-3k,0-10k,1,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Alto,SI,No,NO,2k-3k,20k-30k,1,50-60,1,0.2630692,0.7369308
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Medio,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Toledo,NO,NO,SI,Alto,NO DATA,Averia leve,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Medio,NO DATA,No,NO,3k-5k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,SI,NO,NO,Alto,SI,No,NO,2k-3k,20k-30k,1,50-60,1,0.26805687,0.73194313
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Medio,NO DATA,No,SI,3k-5k,0-10k,2,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Medio,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Santa Cruz de Tenerife,SI,NO,SI,Medio-Bajo,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.46612608,0.5338739
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,SI,3k-5k,0-10k,1,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Murcia,SI,NO,SI,Medio,NO DATA,Averia muy grave,SI,3k-5k,0-10k,2,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Funcionario,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,2,18-40,1,0.45280218,0.5471978
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,NO,NO,SI,Medio,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Alicante,SI,NO,SI,Medio-Bajo,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.38812286,0.61187714
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,2,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Guadalajara,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Valencia,SI,NO,SI,Medio-Bajo,NO DATA,No,NO,0-2k,0-10k,2,18-40,1,0.46612608,0.5338739
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Gerona,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Zaragoza,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,F,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,No,SI,0-2k,0-10k,1,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Zaragoza,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Zaragoza,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Tarragona,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Baja,M,Contado,SOLTERO,F,Funcionario,Zaragoza,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.19424248,0.8057575
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Cadiz,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Valencia,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,0,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Autonomo,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Gerona,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Tarragona,NO,NO,SI,Alto,NO DATA,Averia muy grave,SI,2k-3k,0-10k,0,18-40,1,0.30917203,0.69082797
A,TIPO1,FUEL 1,Baja,A,Contado,CASADO,F,Empresa,Vizcaya,SI,NO,NO,Alto,SI,No,NO,3k-5k,10k-20k,2,60+,1,0.39986593,0.6001341
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Baleares,SI,NO,SI,Medio,NO DATA,No,NO,3k-5k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Alto,NO DATA,Averia leve,SI,0-2k,0-10k,1,18-40,1,0.36874896,0.63125104
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,SOLTERO,F,Empresa,Valladolid,SI,NO,SI,Medio-Bajo,SI,Averia grave,NO,0-2k,10k-20k,2,40-50,1,0.37481147,0.6251885
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Valencia,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Madrid,SI,NO,SI,Medio,NO DATA,No,NO,0-2k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,A,Contado,CASADO,F,Empresa,Baleares,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,A,Contado,CASADO,M,Empresa,Tarragona,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,M,Empresa,Lugo,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Tarragona,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Baja,A,Financiera Marca,CASADO,F,Empresa,Valencia,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,0,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Media,M,Financiera Marca,SOLTERO,M,Empresa,Madrid,SI,NO,SI,Medio,SI,Averia leve,SI,2k-3k,20k-30k,2,18-40,1,0.48506576,0.51493424
A,TIPO1,FUEL 1,Media,M,Contado,EN PAREJA,M,Empresa,Huesca,SI,NO,NO,Medio-Bajo,SI,No,NO,5k-10k,30k-50k,2,50-60,1,0.3547452,0.6452548
A,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Alicante,SI,NO,SI,Alto,SI,No,NO,2k-3k,10k-20k,2,40-50,1,0.39371264,0.60628736
A,TIPO1,FUEL 1,Media,M,Financiera Marca,SOLTERO,F,Empresa,Santa Cruz de Tenerife,SI,NO,NO,Medio,NO DATA,No,NO,5k-10k,0-10k,2,18-40,1,0.31725878,0.6827412
A,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Santa Cruz de Tenerife,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Media,M,Financiera Marca,SOLTERO,M,Empresa,Vizcaya,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,0,18-40,1,0.06595236,0.93404764
A,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Medio-Bajo,NO DATA,Averia muy grave,SI,3k-5k,0-10k,2,18-40,1,0.34962738,0.6503726
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,F,Empresa,Almeria,SI,NO,SI,Medio-Bajo,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.38812286,0.61187714
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,NO,NO,SI,Alto,NO DATA,Averia muy grave,SI,2k-3k,0-10k,0,18-40,1,0.30917203,0.69082797
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,F,Empresa,Barcelona,SI,NO,SI,Medio-Bajo,NO DATA,Averia leve,NO,0-2k,0-10k,1,18-40,1,0.38812286,0.61187714
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,F,Empresa,Soria,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,F,Autonomo,Madrid,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 2,Media,M,Otros,CASADO,F,Empresa,Madrid,NO,NO,SI,Alto,SI,No,NO,5k-10k,50k-100k,1,40-50,1,0.29987413,0.7001259
A,TIPO1,FUEL 2,Media,M,Financiera Marca,CASADO,M,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,Averia muy grave,SI,2k-3k,0-10k,0,18-40,1,0.30917203,0.69082797
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Baleares,SI,NO,SI,Medio-Bajo,NO DATA,Averia leve,NO,2k-3k,0-10k,1,18-40,1,0.38812286,0.61187714
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Alto,SI,No,NO,3k-5k,10k-20k,1,50-60,1,0.39371264,0.60628736
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.14255995,0.85744005
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Barcelona,SI,NO,SI,Medio,NO DATA,No,NO,2k-3k,0-10k,2,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Castellon,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,0,18-40,1,0.42211127,0.5778887
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,F,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,0,18-40,1,0.14255995,0.85744005
