PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad Cliente,Mas_1_Coche,Probabilidad_0,Probabilidad_1
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Asturias,SI,NO,NO,Medio-Bajo,NO DATA,Averia muy grave,SI,3k-5k,0-10k,2,18-40,0,0.9133929,0.08660709
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,F,Empresa,Toledo,NO,NO,NO,Medio-Bajo,SI,No,NO,0-2k,0-10k,2,50-60,0,0.9652753,0.03472469
A,TIPO1,FUEL 1,Baja,M,Otros,CASADO,M,Empresa,Lerida,NO,NO,NO,Medio,NO DATA,No,NO,0-2k,0-10k,4,18-40,0,0.98123294,0.018767042
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Funcionario,Santa Cruz de Tenerife,SI,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,3,18-40,1,0.2746812,0.7253188
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Asturias,SI,NO,NO,Medio,SI,Averia leve,NO,2k-3k,10k-20k,2,50-60,0,0.89053315,0.109466836
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,NO,Medio,NO DATA,No,SI,2k-3k,0-10k,1,18-40,0,0.94844484,0.051555146
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Pontevedra,SI,NO,NO,Medio-Bajo,SI,No,NO,0-2k,0-10k,2,50-60,0,0.927041,0.07295898
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Asturias,NO,NO,NO,Alto,SI,No,NO,0-2k,10k-20k,1,40-50,0,0.93128175,0.06871823
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Madrid,NO,NO,NO,Alto,NO DATA,Averia muy grave,SI,0-2k,0-10k,1,18-40,0,0.989079,0.010921014
A,TIPO1,FUEL 1,Baja,M,Contado,SOLTERO,F,Empresa,Toledo,NO,NO,NO,Medio-Bajo,NO DATA,Averia grave,NO,0-2k,0-10k,1,18-40,0,0.9812711,0.018728904
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,M,Empresa,Castellon,SI,NO,NO,Alto,SI,Averia muy grave,SI,3k-5k,10k-20k,1,40-50,0,0.8974316,0.10256836
A,TIPO1,FUEL 1,Baja,M,Contado,SOLTERO,M,Empresa,Las Palmas,NO,NO,NO,Medio,NO DATA,Averia leve,NO,3k-5k,0-10k,1,18-40,0,0.98776674,0.012233276
A,TIPO1,FUEL 1,Baja,M,Otros,CASADO,F,Empresa,La Rioja,NO,NO,NO,Medio-Bajo,SI,No,NO,2k-3k,0-10k,2,40-50,0,0.97188324,0.02811676
A,TIPO1,FUEL 1,Baja,M,Otros,CASADO,F,Empresa,Barcelona,SI,NO,NO,Medio-Bajo,NO DATA,Averia muy grave,SI,0-2k,0-10k,1,18-40,0,0.9305539,0.06944608
A,TIPO1,FUEL 1,Baja,M,Contado,CASADO,F,Empresa,Madrid,SI,NO,NO,Alto,SI,Averia leve,NO,5k-10k,10k-20k,1,40-50,0,0.5304239,0.46957615
A,TIPO1,FUEL 1,Baja,M,Otros,CASADO,F,Empresa,Tarragona,NO,NO,NO,Alto,NO DATA,Averia muy grave,SI,2k-3k,0-10k,2,18-40,0,0.947716,0.052283995
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Cordoba,NO,NO,SI,Medio-Bajo,NO DATA,Averia leve,NO,2k-3k,0-10k,1,18-40,0,0.77586246,0.22413756
A,TIPO1,FUEL 1,Baja,M,Otros,SOLTERO,M,Empresa,Madrid,SI,NO,NO,Alto,SI,Averia grave,NO,5k-10k,10k-20k,2,50-60,0,0.78413635,0.21586365
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Badajoz,SI,NO,NO,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,0,0.9796785,0.020321468
